Variant,p-value,AF_AFR,AF_AMR,AF_EAS,AF_EUR,AF_SAS,AC_AFR,AC_AMR,AC_EAS,AC_EUR,AC_SAS,RC_AFR,RC_AMR,RC_EAS,RC_EUR,RC_SAS
22:16058766,8.445e-13,0.1377,0.3285,0.4107,0.2555,0.2679,182,228,414,257,262,1140,466,594,749,716
22:16058767,8.445e-13,0.1377,0.3285,0.4107,0.2555,0.2679,182,228,414,257,262,1140,466,594,749,716
22:16058883,5.208e-08,0.4425,0.6816,0.8502,0.5567,0.7955,585,473,857,560,778,737,221,151,446,200
22:16063424,5.280e-25,0.1225,0.0072,0.0,0.0,0.0,162,5,0,0,0,1160,689,1008,1006,978
22:16063753,2.556e-22,0.112,0.0072,0.0,0.0119,0.001,148,5,0,12,1,1174,689,1008,994,977
22:16070003,3.187e-14,0.0514,0.1556,0.2173,0.2008,0.226,68,108,219,202,221,1254,586,789,804,757
22:16070078,2.381e-14,0.0522,0.1571,0.2113,0.2167,0.227,69,109,213,218,222,1253,585,795,788,756
22:16070918,3.559e-26,0.1316,0.0086,0.0,0.0159,0.002,174,6,0,16,2,1148,688,1008,990,976
22:16074105,4.030e-21,0.3359,0.111,0.1419,0.165,0.1544,444,77,143,166,151,878,617,865,840,827
22:16085591,1.106e-48,0.2927,0.0403,0.0179,0.0298,0.0337,387,28,18,30,33,935,666,990,976,945
22:16119303,2.786e-28,0.0061,0.111,0.251,0.1093,0.3047,8,77,253,110,298,1314,617,755,896,680
22:16122005,4.196e-20,0.2201,0.0504,0.0575,0.0427,0.0818,291,35,58,43,80,1031,659,950,963,898
22:16123813,2.451e-13,0.1006,0.2291,0.3859,0.2276,0.2117,133,159,389,229,207,1189,535,619,777,771
22:16133705,3.709e-27,0.9902,0.8804,0.7192,0.8628,0.6401,1309,611,725,868,626,13,83,283,138,352
22:16146771,2.187e-27,0.1452,0.0086,0.005,0.0229,0.0061,192,6,5,23,6,1130,688,1003,983,972
22:16155603,6.681e-24,0.1142,0.0058,0.0,0.001,0.0,151,4,0,1,0,1171,690,1008,1005,978
22:16168874,2.981e-10,0.3056,0.134,0.1171,0.1909,0.1687,404,93,118,192,165,918,601,890,814,813
22:16176926,9.790e-35,0.8245,0.4885,0.4821,0.5577,0.592,1090,339,486,561,579,232,355,522,445,399
22:16194707,1.020e-38,0.146,0.4308,0.4117,0.3897,0.3834,193,299,415,392,375,1129,395,593,614,603
22:16201114,5.810e-44,0.1793,0.5159,0.5813,0.5119,0.4468,237,358,586,515,437,1085,336,422,491,541
22:16208767,8.723e-26,0.3585,0.6037,0.7569,0.5795,0.6677,474,419,763,583,653,848,275,245,423,325
22:16218389,2.955e-31,0.1309,0.3689,0.4603,0.3588,0.3344,173,256,464,361,327,1149,438,544,645,651
22:16219898,8.880e-24,0.357,0.5994,0.747,0.5666,0.6401,472,416,753,570,626,850,278,255,436,352
22:16228619,1.945e-07,0.59,0.7075,0.8313,0.7266,0.7474,780,491,838,731,731,542,203,170,275,247
22:16229148,1.034e-11,0.5726,0.7262,0.8393,0.7107,0.7546,757,504,846,715,738,565,190,162,291,240
22:16231371,3.615e-20,0.23,0.487,0.5972,0.4642,0.41,304,338,602,467,401,1018,356,406,539,577
22:16240357,1.352e-33,0.3472,0.6282,0.7579,0.6173,0.638,459,436,764,621,624,863,258,244,385,354
22:16240905,9.316e-54,0.2141,0.5591,0.7153,0.5626,0.5654,283,388,721,566,553,1039,306,287,440,425
22:16241858,1.782e-50,0.1853,0.5101,0.6925,0.504,0.5573,245,354,698,507,545,1077,340,310,499,433
22:16242273,2.634e-41,0.2451,0.549,0.5308,0.5179,0.5389,324,381,535,521,527,998,313,473,485,451
22:16242751,1.719e-20,0.3396,0.5548,0.7004,0.5477,0.5838,449,385,706,551,571,873,309,302,455,407
22:16245839,1.232e-22,0.2746,0.4957,0.6895,0.4732,0.546,363,344,695,476,534,959,350,313,530,444
22:16252197,1.211e-25,0.2882,0.5274,0.752,0.5278,0.593,381,366,758,531,580,941,328,250,475,398
22:16255645,1.085e-10,0.2474,0.4222,0.4246,0.4334,0.3732,327,293,428,436,365,995,401,580,570,613
22:16255710,5.316e-11,0.2443,0.4135,0.4147,0.4254,0.3722,323,287,418,428,364,999,407,590,578,614
22:16257707,3.929e-41,0.1626,0.4438,0.6329,0.4235,0.4877,215,308,638,426,477,1107,386,370,580,501
22:16260678,8.209e-14,0.3888,0.5634,0.9673,0.6133,0.7638,514,391,975,617,747,808,303,33,389,231
22:16271182,4.505e-10,0.1732,0.3415,0.3333,0.3549,0.2832,229,237,336,357,277,1093,457,672,649,701
22:16274073,1.411e-31,0.1876,0.4366,0.6637,0.4245,0.5174,248,303,669,427,506,1074,391,339,579,472
22:16277622,8.605e-17,0.3298,0.5216,0.9167,0.5467,0.6534,436,362,924,550,639,886,332,84,456,339
22:16285350,4.657e-14,0.4697,0.2133,0.1855,0.2266,0.3139,621,148,187,228,307,701,546,821,778,671
22:16286465,1.910e-45,0.329,0.0562,0.0347,0.0696,0.089,435,39,35,70,87,887,655,973,936,891
22:16286468,2.002e-25,0.8775,0.5778,0.63,0.5865,0.7014,1160,401,635,590,686,162,293,373,416,292
22:16289673,4.061e-52,0.6853,0.2925,0.1637,0.2654,0.3681,906,203,165,267,360,416,491,843,739,618
22:16297800,2.196e-14,0.3464,0.0865,0.0655,0.1163,0.2025,458,60,66,117,198,864,634,942,889,780
22:16302286,7.553e-24,0.1445,0.0173,0.006,0.0109,0.0204,191,12,6,11,20,1131,682,1002,995,958
22:16309704,2.233e-43,0.9266,0.683,0.6022,0.7127,0.6953,1225,474,607,717,680,97,220,401,289,298
22:16314967,4.978e-73,0.2943,0.7824,0.6964,0.7406,0.6708,389,543,702,745,656,933,151,306,261,322
22:16340551,1.152e-106,0.6172,0.1282,0.1181,0.1382,0.1288,816,89,119,139,126,506,605,889,867,852
22:16341685,1.302e-06,0.3306,0.2277,0.0188,0.1988,0.1728,437,158,19,200,169,885,536,989,806,809
22:16341774,5.049e-21,0.1188,0.0115,0.001,0.0,0.0,157,8,1,0,0,1165,686,1007,1006,978
22:16352391,2.867e-114,0.6097,0.1081,0.1032,0.0964,0.1207,806,75,104,97,118,516,619,904,909,860
22:16352455,5.401e-74,0.3585,0.0303,0.0268,0.0159,0.0307,474,21,27,16,30,848,673,981,990,948
22:16357433,1.835e-111,0.7383,0.1931,0.1746,0.1918,0.274,976,134,176,193,268,346,560,832,813,710
22:16357846,1.593e-122,0.8056,0.2464,0.2093,0.2525,0.3262,1065,171,211,254,319,257,523,797,752,659
22:16359545,1.400e-46,0.7466,0.4207,0.3343,0.3499,0.4131,987,292,337,352,404,335,402,671,654,574
22:16360162,1.400e-19,0.0605,0.196,0.3056,0.3708,0.2485,80,136,308,373,243,1242,558,700,633,735
22:16364923,7.621e-72,0.8442,0.4582,0.3363,0.4612,0.4785,1116,318,339,464,468,206,376,669,542,510
22:16365211,3.732e-28,0.1399,0.0086,0.0,0.0,0.001,185,6,0,0,1,1137,688,1008,1006,977
22:16365289,8.189e-39,0.9191,0.6888,0.6895,0.6899,0.6789,1215,478,695,694,664,107,216,313,312,314
22:16365495,4.017e-21,0.1256,0.0144,0.001,0.0,0.001,166,10,1,0,1,1156,684,1007,1006,977
22:16366285,1.499e-39,0.4977,0.1182,0.1875,0.1163,0.2311,658,82,189,117,226,664,612,819,889,752
22:16367079,4.297e-85,0.466,0.0605,0.0784,0.0557,0.1012,616,42,79,56,99,706,652,929,950,879
22:16372719,2.195e-80,0.6392,0.2046,0.2063,0.1978,0.2188,845,142,208,199,214,477,552,800,807,764
22:16375761,2.444e-07,0.6014,0.8545,0.7044,0.8082,0.7761,795,593,710,813,759,527,101,298,193,219
22:16384531,1.437e-11,0.5424,0.6974,0.8204,0.7376,0.7474,717,484,827,742,731,605,210,181,264,247
22:16388301,3.920e-10,0.615,0.7522,0.8442,0.7694,0.7863,813,522,851,774,769,509,172,157,232,209
22:16393311,1.496e-119,0.149,0.6614,0.7569,0.675,0.6779,197,459,763,679,663,1125,235,245,327,315
22:16400397,2.241e-53,0.2345,0.5821,0.6736,0.5775,0.6115,310,404,679,581,598,1012,290,329,425,380
22:16400550,1.541e-19,0.1626,0.0259,0.0476,0.0219,0.0389,215,18,48,22,38,1107,676,960,984,940
22:16405003,6.456e-26,0.149,0.0159,0.0,0.0,0.0,197,11,0,0,0,1125,683,1008,1006,978
22:16407120,9.733e-97,0.2655,0.817,0.6944,0.8032,0.7577,351,567,700,808,741,971,127,308,198,237
22:16407329,3.103e-51,0.2534,0.0187,0.0,0.0,0.0,335,13,0,0,0,987,681,1008,1006,978
22:16407367,8.188e-32,0.1664,0.013,0.0,0.0,0.0,220,9,0,0,0,1102,685,1008,1006,978
22:16413241,4.604e-57,0.1823,0.5677,0.6389,0.5706,0.4939,241,394,644,574,483,1081,300,364,432,495
22:16413696,1.200e-24,0.1293,0.0101,0.0,0.0,0.0,171,7,0,0,0,1151,687,1008,1006,978
22:16414678,6.192e-41,0.0219,0.1988,0.2847,0.3529,0.2444,29,138,287,355,239,1293,556,721,651,739
22:16414787,1.927e-69,0.2746,0.7709,0.6498,0.7316,0.6401,363,535,655,736,626,959,159,353,270,352
22:16415170,1.344e-25,0.1369,0.0115,0.0,0.0,0.0,181,8,0,0,0,1141,686,1008,1006,978
22:16415579,4.691e-28,0.0182,0.1455,0.1518,0.163,0.1636,24,101,153,164,160,1298,593,855,842,818
22:16415815,1.759e-108,0.1604,0.6499,0.7351,0.6571,0.637,212,451,741,661,623,1110,243,267,345,355
22:16419618,6.535e-103,0.6188,0.1369,0.1806,0.1471,0.1728,818,95,182,148,169,504,599,826,858,809
22:16423527,4.046e-16,0.5393,0.2968,0.369,0.3082,0.3681,713,206,372,310,360,609,488,636,696,618
22:16428299,8.543e-40,0.0318,0.219,0.3175,0.3936,0.2822,42,152,320,396,276,1280,542,688,610,702
22:16428507,3.878e-26,0.5938,0.8213,0.8423,0.7972,0.7996,785,570,849,802,782,537,124,159,204,196
22:16432905,6.785e-42,0.2905,0.0519,0.0417,0.0318,0.0726,384,36,42,32,71,938,658,966,974,907
22:16433365,1.262e-31,0.1725,0.0159,0.0,0.0,0.0,228,11,0,0,0,1094,683,1008,1006,978
22:16433683,1.801e-22,0.1172,0.0086,0.0,0.0,0.0,155,6,0,0,0,1167,688,1008,1006,978
22:16439926,3.300e-87,0.708,0.2262,0.2321,0.2078,0.2965,936,157,234,209,290,386,537,774,797,688
22:16445153,1.257e-25,0.3555,0.0865,0.1637,0.0775,0.1166,470,60,165,78,114,852,634,843,928,864
22:16446304,1.328e-20,0.1203,0.013,0.0,0.001,0.001,159,9,0,1,1,1163,685,1008,1005,977
22:16447985,2.014e-50,0.3737,0.0605,0.1091,0.0487,0.1002,494,42,110,49,98,828,652,898,957,880
22:16449050,9.787e-16,0.0703,0.1931,0.25,0.3608,0.1984,93,134,252,363,194,1229,560,756,643,784
22:16459141,1.551e-29,0.1203,0.0014,0.0,0.0,0.0,159,1,0,0,0,1163,693,1008,1006,978
22:16460869,2.996e-15,0.0666,0.1844,0.245,0.3459,0.1963,88,128,247,348,192,1234,566,761,658,786
22:16462467,1.042e-91,0.1324,0.6455,0.5962,0.6521,0.5215,175,448,601,656,510,1147,246,407,350,468
22:16463039,3.525e-50,0.2905,0.634,0.7411,0.6282,0.6575,384,440,747,632,643,938,254,261,374,335
22:16464422,1.610e-72,0.1694,0.6311,0.6111,0.6531,0.5225,224,438,616,657,511,1098,256,392,349,467
22:16464716,1.082e-71,0.171,0.6311,0.6111,0.6531,0.5225,226,438,616,657,511,1096,256,392,349,467
22:16465045,3.331e-23,0.1309,0.013,0.0,0.0,0.0,173,9,0,0,0,1149,685,1008,1006,978
22:16471042,1.126e-67,0.2224,0.6153,0.7232,0.6054,0.6431,294,427,729,609,629,1028,267,279,397,349
22:16471151,9.064e-70,0.3775,0.8458,0.7411,0.8121,0.7935,499,587,747,817,776,823,107,261,189,202
22:16471461,9.906e-74,0.3835,0.8588,0.756,0.8221,0.8108,507,596,762,827,793,815,98,246,179,185
22:16472000,3.426e-60,0.6059,0.1571,0.2688,0.1899,0.2117,801,109,271,191,207,521,585,737,815,771
22:16474550,1.288e-45,0.1089,0.4769,0.4663,0.4702,0.3538,144,331,470,473,346,1178,363,538,533,632
22:16478236,2.881e-18,0.053,0.1772,0.1726,0.3151,0.1728,70,123,174,317,169,1252,571,834,689,809
22:16479350,1.006e-23,0.1369,0.0144,0.0,0.0,0.0,181,10,0,0,0,1141,684,1008,1006,978
22:16481734,1.735e-22,0.1278,0.013,0.0,0.0,0.0,169,9,0,0,0,1153,685,1008,1006,978
22:16482550,3.007e-75,0.1808,0.5865,0.6984,0.5676,0.6299,239,407,704,571,616,1083,287,304,435,362
22:16483979,2.725e-44,0.1172,0.4784,0.494,0.4702,0.362,155,332,498,473,354,1167,362,510,533,624
22:16485091,2.656e-52,0.2602,0.6081,0.7163,0.5895,0.6554,344,422,722,593,641,978,272,286,413,337
22:16485891,2.164e-83,0.1672,0.5922,0.6915,0.5706,0.6237,221,411,697,574,610,1101,283,311,432,368
22:16486018,8.754e-39,0.4682,0.8545,0.7341,0.8171,0.8088,619,593,740,822,791,703,101,268,184,187
22:16488814,3.886e-108,0.121,0.5922,0.6935,0.5835,0.6288,160,411,699,587,615,1162,283,309,419,363
22:16489705,2.813e-74,0.1664,0.6239,0.6121,0.6521,0.5235,220,433,617,656,512,1102,261,391,350,466
22:16489959,5.246e-157,0.1732,0.8127,0.7103,0.7972,0.7761,229,564,716,802,759,1093,130,292,204,219
22:16490252,7.944e-30,0.3086,0.6945,0.623,0.6968,0.544,408,482,628,701,532,914,212,380,305,446
22:16490618,2.883e-73,0.1687,0.6225,0.6141,0.6511,0.5235,223,432,619,655,512,1099,262,389,351,466
22:16491204,4.200e-26,0.1392,0.0115,0.0,0.0,0.0,184,8,0,0,0,1138,686,1008,1006,978
22:16496595,1.727e-69,0.3805,0.8372,0.7431,0.7992,0.7894,503,581,749,804,772,819,113,259,202,206
22:16497122,4.253e-28,0.1437,0.0101,0.0,0.0,0.0,190,7,0,0,0,1132,687,1008,1006,978
22:16498643,3.513e-69,0.1657,0.6182,0.6062,0.6282,0.5082,219,429,611,632,497,1103,265,397,374,481
22:16501803,3.288e-69,0.1702,0.6254,0.6151,0.6382,0.5143,225,434,620,642,503,1097,260,388,364,475
22:16502808,3.448e-72,0.2474,0.6585,0.7698,0.6481,0.7035,327,457,776,652,688,995,237,232,354,290
22:16504399,4.225e-24,0.6142,0.8905,0.8065,0.8598,0.8599,812,618,813,865,841,510,76,195,141,137
22:16504491,4.832e-35,0.5741,0.8804,0.8115,0.8559,0.8579,759,611,818,861,839,563,83,190,145,139
22:16504500,2.089e-48,0.5129,0.8847,0.8115,0.8499,0.8037,678,614,818,855,786,644,80,190,151,192
22:16505794,1.961e-23,0.1324,0.013,0.0,0.0,0.0,175,9,0,0,0,1147,685,1008,1006,978
22:16509023,2.034e-23,0.1286,0.0115,0.0,0.0,0.0,170,8,0,0,0,1152,686,1008,1006,978
22:16509047,1.848e-55,0.0998,0.4481,0.5169,0.4602,0.3712,132,311,521,463,363,1190,383,487,543,615
