Variant,p-value,AF_AFR,AF_AMR,AF_EAS,AF_EUR,AF_SAS,AC_AFR,AC_AMR,AC_EAS,AC_EUR,AC_SAS,RC_AFR,RC_AMR,RC_EAS,RC_EUR,RC_SAS
22:16053659,5.382e-07,0.8994,0.8329,0.9167,0.7296,0.8896,1189,578,924,734,870,133,116,84,272,108
22:16058883,2.433e-07,0.4425,0.6816,0.8502,0.5567,0.7955,585,473,857,560,778,737,221,151,446,200
22:16449050,7.443e-08,0.0703,0.1931,0.25,0.3608,0.1984,93,134,252,363,194,1229,560,756,643,784
22:16460869,7.790e-07,0.0666,0.1844,0.245,0.3459,0.1963,88,128,247,348,192,1234,566,761,658,786
22:16478236,1.124e-10,0.053,0.1772,0.1726,0.3151,0.1728,70,123,174,317,169,1252,571,834,689,809
22:16531941,2.829e-07,0.0575,0.2003,0.253,0.3588,0.2127,76,139,255,361,208,1246,555,753,645,770
22:16542692,3.062e-08,0.0635,0.2032,0.2133,0.3241,0.1851,84,141,215,326,181,1238,553,793,680,797
22:16566779,2.477e-08,0.0862,0.1931,0.248,0.3628,0.1963,114,134,250,365,192,1208,560,758,641,786
22:16592721,5.753e-08,0.0885,0.1902,0.25,0.3618,0.1943,117,132,252,364,190,1205,562,756,642,788
22:16634706,1.042e-07,0.087,0.1888,0.253,0.3628,0.1933,115,131,255,365,189,1207,563,753,641,789
