Variant,p-value,AF_AFR,AF_AMR,AF_EAS,AF_EUR,AF_SAS,AC_AFR,AC_AMR,AC_EAS,AC_EUR,AC_SAS,RC_AFR,RC_AMR,RC_EAS,RC_EUR,RC_SAS
22:16052167,2.191e-06,0.357,0.5548,0.6687,0.3698,0.4744,472,385,674,372,464,850,309,334,634,514
22:16067462,9.479e-06,0.2027,0.3732,0.4821,0.2376,0.274,268,259,486,239,268,1054,435,522,767,710
22:16067693,2.019e-07,0.2216,0.3905,0.5188,0.2654,0.317,293,271,523,267,310,1029,423,485,739,668
22:16069141,5.987e-14,0.6672,0.7565,0.9415,0.663,0.8374,882,525,949,667,819,440,169,59,339,159
22:16070517,1.217e-13,0.6604,0.7651,0.9365,0.6312,0.8313,873,531,944,635,813,449,163,64,371,165
22:16071624,1.242e-14,0.6165,0.7233,0.9246,0.5994,0.8078,815,502,932,603,790,507,192,76,403,188
22:16072581,1.180e-07,0.2761,0.4539,0.5853,0.3171,0.3773,365,315,590,319,369,957,379,418,687,609
22:16091784,2.434e-10,0.0227,0.0735,0.2927,0.0586,0.1728,30,51,295,59,169,1292,643,713,947,809
22:16092069,5.822e-10,0.0227,0.072,0.2887,0.0537,0.1718,30,50,291,54,168,1292,644,717,952,810
22:16123813,8.148e-12,0.1006,0.2291,0.3859,0.2276,0.2117,133,159,389,229,207,1189,535,619,777,771
22:16145649,1.978e-22,0.2247,0.1628,0.0258,0.2575,0.1421,297,113,26,259,139,1025,581,982,747,839
22:16155259,7.590e-07,0.8245,0.8501,0.7163,0.8559,0.6115,1090,590,722,861,598,232,104,286,145,380
22:16155304,7.722e-07,0.9486,0.8559,0.7153,0.8569,0.6104,1254,594,721,862,597,68,100,287,144,381
22:16168542,4.164e-09,0.4766,0.3631,0.1994,0.4404,0.3149,630,252,201,443,308,692,442,807,563,670
22:16168653,4.385e-10,0.4531,0.3458,0.1845,0.4145,0.3047,599,240,186,417,298,723,454,822,589,680
22:16212732,1.208e-29,0.2012,0.2363,0.0139,0.2187,0.1411,266,164,14,220,138,1056,530,994,786,840
22:16219898,2.358e-07,0.357,0.5994,0.747,0.5666,0.6401,472,416,753,570,626,850,278,255,436,352
22:16231371,7.927e-06,0.23,0.487,0.5972,0.4642,0.41,304,338,602,467,401,1018,356,406,539,577
22:16235732,3.753e-35,0.7564,0.7378,0.9821,0.7614,0.8303,1000,512,990,766,812,322,182,18,240,166
22:16240357,1.227e-08,0.3472,0.6282,0.7579,0.6173,0.638,459,436,764,621,624,863,258,244,385,354
22:16240905,4.280e-11,0.2141,0.5591,0.7153,0.5626,0.5654,283,388,721,566,553,1039,306,287,440,425
22:16241858,4.887e-10,0.1853,0.5101,0.6925,0.504,0.5573,245,354,698,507,545,1077,340,310,499,433
